Individual,Fitness,HealthGain1,HealthGain2,HealthGain3,HealthGain4,HealthGain5,HealthGain6,HealthGain7,HealthGain8,EnemiesBeaten
6443,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6444,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6445,-38.327361963190164,-50.0,-70.0,-40.0,-90.0,77.80000000000021,-50.0,-100.0,-60.0,1
6446,-86.43181818181819,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,0
6447,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6448,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
6449,-58.96059431524548,-100.0,-60.0,-100.0,-90.0,-10.0,-50.0,-70.0,-90.0,0
6450,-9.75416666666661,-70.0,64.0,-60.0,-70.0,65.80000000000032,-70.0,-10.0,5.200000000000234,3
6451,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6452,-92.69199999999996,-100.0,-100.0,-100.0,-100.0,-92.39999999999976,-100.0,-100.0,-100.0,0
6453,-39.76390681003581,-100.0,28.0,-70.0,-80.0,-90.0,-90.0,-20.0,29.80000000000026,2
6454,-93.13907284768212,-100,-100,-100,-100,-100,-100,-100,-100,0
6455,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
6456,-35.10973293768542,-70.0,-60.0,-60.0,-90.0,64.60000000000034,-70.0,-10.0,-80.0,1
6457,-71.35574412532637,-50.0,-70.0,-80.0,-90.0,-80.0,-100.0,-90.0,-70.0,0
6458,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
